row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes,state_clean,municipality_clean,health_unit_name_clean,address_clean,phones_clean,antivenoms_joined,geocode_query,normalization_notes,needs_review_pre_geocode,geocode_status,formatted_address,lat,lng,place_id,partial_match,location_type,result_types,geocode_provider,geocode_attempted_at,review_status,review_reasons
AC_0001,AC.json,AC,ACRE,Acrelândia,Unidade Mista de Saúde de Acrelândia,"Avenida Paraná, 346 – Centro",(68) 3235-1188,5701929,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Acrelândia,Unidade Mista de Saúde de Acrelândia,"Avenida Paraná, 346 – Centro",(68) 3235-1188,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Saúde de Acrelândia, Avenida Paraná, 346 – Centro, Acrelândia, ACRE, Brasil",,false,OK,"Av. Paraná, 346 - centro, Acrelândia - AC, 69945-000, Brasil",-10.0818717,-67.0565355,ChIJVVV4vAVB1ZMRrCj3O-gRNd8,true,ROOFTOP,street_address|subpremise,google_maps_geocoding_v1,2026-04-19T14:44:41Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AC_0004,AC.json,AC,ACRE,Cruzeiro do Sul,Hospital Regional do Juruá,"Avenida 25 de Agosto, 5121 - Aeroporto Velho",(68) 3322-5516,5336171,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Cruzeiro do Sul,Hospital Regional do Juruá,"Avenida 25 de Agosto, 5121 - Aeroporto Velho",(68) 3322-5516,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Regional do Juruá, Avenida 25 de Agosto, 5121 - Aeroporto Velho, Cruzeiro do Sul, ACRE, Brasil",,false,OK,"Av. 25 de Agosto, 5121 - Aeroporto Velho, Cruzeiro do Sul - AC, 69895-000, Brasil",-7.5954959,-72.683104,ChIJTxCRApnSmZERTKsTslmiZho,false,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:42Z,auto_accept,ROOFTOP + in Brazil + state-consistent
AC_0005,AC.json,AC,ACRE,Feijó,Hospital Geral de Feijó,"Avenida Mal. Deodoro, s/n - Centro",(68) 99222-5074,2000636,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Feijó,Hospital Geral de Feijó,"Avenida Mal. Deodoro, s/n - Centro",(68) 99222-5074,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Geral de Feijó, Avenida Mal. Deodoro, s/n - Centro, Feijó, ACRE, Brasil",,false,OK,"Av. Mal. Deodoro, s/n - centro, Feijó - AC, 69960-000, Brasil",-8.172503899999999,-70.3606215,ChIJSb88SY3NhJERFuXnOBJaZig,false,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:42Z,auto_accept,ROOFTOP + in Brazil + state-consistent
AC_0010,AC.json,AC,ACRE,Plácido de Castro,Hospital Dr. Manoel Marinho Monte,"Rua Epitácio Pessoa, 550 - Centro",(68) 3237-1821,2000997,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Plácido de Castro,Hospital Dr. Manoel Marinho Monte,"Rua Epitácio Pessoa, 550 - Centro",(68) 3237-1821,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Dr. Manoel Marinho Monte, Rua Epitácio Pessoa, 550 - Centro, Plácido de Castro, ACRE, Brasil",,false,OK,"69928-000 - R. José Ferreira Lima, 278-454 - Centro, Plácido de Castro - AC, 69928-000, Brasil",-10.3328825,-67.184598,ChIJ82DGFXRw1ZMRAoB7w8Xsg-4,true,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:43Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AC_0012,AC.json,AC,ACRE,Rio Branco,HUERB - Hosp. de Urgência e Emergência de Rio Branco,"Avenida Nações Unidas, 700 - Bosque",(68) 3223-3080,2001578,Botrópico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ACRE,Rio Branco,HUERB - Hosp. de Urgência e Emergência de Rio Branco,"Avenida Nações Unidas, 700 - Bosque",(68) 3223-3080,"Botrópico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","HUERB - Hosp. de Urgência e Emergência de Rio Branco, Avenida Nações Unidas, 700 - Bosque, Rio Branco, ACRE, Brasil",,false,OK,"Av. Nações Unidas, 700 - Bosque, Rio Branco - AC, 69900-478, Brasil",-9.9651374,-67.81443949999999,ChIJ6RIaWleMf5ERYg1Ldn-BZGM,true,ROOFTOP,premise|street_address,google_maps_geocoding_v1,2026-04-19T14:44:44Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AC_0014,AC.json,AC,ACRE,Sena Madureira,Hospital João Câncio Fernandes,"Rua Quintino Bocaiúva, 1054 - Centro",(68) 3612-2271,2000865,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Sena Madureira,Hospital João Câncio Fernandes,"Rua Quintino Bocaiúva, 1054 - Centro",(68) 3612-2271,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Hospital João Câncio Fernandes, Rua Quintino Bocaiúva, 1054 - Centro, Sena Madureira, ACRE, Brasil",,false,OK,"R. Quintino Bocaiúva, 1054 - Centro, Sena Madureira - AC, 69940-000, Brasil",-9.0672348,-68.6579612,ChIJldeVPChugZERbnpxPwdyejM,true,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:45Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AC_0016,AC.json,AC,ACRE,Tarauacá,Hospital Dr. Sansão Gomes,"Avenida Avelino Leal, 1221 - Copacabana",(68) 99954-9484,2000121,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Tarauacá,Hospital Dr. Sansão Gomes,"Avenida Avelino Leal, 1221 - Copacabana",(68) 99954-9484,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Dr. Sansão Gomes, Avenida Avelino Leal, 1221 - Copacabana, Tarauacá, ACRE, Brasil",,false,OK,"Av. Avelino Leal, 2231, Tarauacá - AC, 69970-000, Brasil",-8.1484735,-70.78311870000002,ChIJt5c_5fMim5ERRsjdgfES8r4,true,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:45Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AC_0017,AC.json,AC,ACRE,Xapuri,Hospital Epaminondas Jácome,"Rua 6 de Agosto, 240 - Centro",(68) 3542-2316,2000393,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Xapuri,Hospital Epaminondas Jácome,"Rua 6 de Agosto, 240 - Centro",(68) 3542-2316,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Epaminondas Jácome, Rua 6 de Agosto, 240 - Centro, Xapuri, ACRE, Brasil",,false,OK,"R. Seis de Agosto, 238, Xapuri - AC, 69930-000, Brasil",-10.6502201,-68.5065532,ChIJKQ_tA8LgfpER04c98PinT8Q,true,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:45Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AL_0003,AL.json,AL,ALAGOAS,Palmeira Dos Índios,UPA Palmeira dos Índios,"R. Bráulio Montenegro, 2311 - Vila Maria",(82) 3421-2309,7481624,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Palmeira Dos Índios,UPA Palmeira dos Índios,"R. Bráulio Montenegro, 2311 - Vila Maria",(82) 3421-2309,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","UPA Palmeira dos Índios, R. Bráulio Montenegro, 2311 - Vila Maria, Palmeira Dos Índios, ALAGOAS, Brasil",,false,OK,"R. Bráulio Montenegro, 2311 - Vila Maria, Palmeira dos Índios - AL, 57607-520, Brasil",-9.4235094,-36.6439294,ChIJq15m-MhfBgcRa0dTuTxOryc,true,ROOFTOP,premise|street_address,google_maps_geocoding_v1,2026-04-19T14:44:47Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AL_0004,AL.json,AL,ALAGOAS,Pão de Açúcar,Unid. Mista Djalma G. dos Anjos,"Rua Padre José Soares Pinto, 850 - Centro",(82) 3624-1128,2719290,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Pão de Açúcar,Unid. Mista Djalma G. dos Anjos,"Rua Padre José Soares Pinto, 850 - Centro",(82) 3624-1128,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","Unid. Mista Djalma G. dos Anjos, Rua Padre José Soares Pinto, 850 - Centro, Pão de Açúcar, ALAGOAS, Brasil",,false,OK,"Avenida Maestro Manoelito - Av. Manoelito Bezerra Lima, 885 - Centro, Pão de Açúcar - AL, 57400-000, Brasil",-9.7499222,-37.4315452,ChIJ8RF5zRRRDwcRXAh768ywIcM,true,ROOFTOP,establishment|point_of_interest|primary_school|school,google_maps_geocoding_v1,2026-04-19T14:44:47Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AL_0008,AL.json,AL,ALAGOAS,Maceió,Hospital Escola Dr. Helvio Auto - HEHA,"Rua Cônego Fernando Lyra, no Trapiche da Barra",(82) 3315-6826 e (82) 3315-3244,2720035,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Maceió,Hospital Escola Dr. Helvio Auto - HEHA,"Rua Cônego Fernando Lyra, no Trapiche da Barra",(82) 3315-6826 e (82) 3315-3244,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","Hospital Escola Dr. Helvio Auto - HEHA, Rua Cônego Fernando Lyra, no Trapiche da Barra, Maceió, ALAGOAS, Brasil",,false,OK,"R. Cônego Fernando Lyra, s/n - Trapiche da Barra, Maceió - AL, 57017-420, Brasil",-9.6743393,-35.758589,ChIJfdmG9JRPAQcRVhZpDLNix9M,true,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:48Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AL_0009,AL.json,AL,ALAGOAS,Maceió,UPA 24 horas Dr Ismar Gatto,"Av. Juca Sampaio, 600, Jacintinho",(82) 3023-5682,4156730,Escorpiônico,municipality inherited from previous row (blank in source),ALAGOAS,Maceió,UPA 24 horas Dr Ismar Gatto,"Av. Juca Sampaio, 600, Jacintinho",(82) 3023-5682,Escorpiônico,"UPA 24 horas Dr Ismar Gatto, Av. Juca Sampaio, 600, Jacintinho, Maceió, ALAGOAS, Brasil",,false,OK,"Av. Juca Sampaio, 600 - Barro Duro, Maceió - AL, 57040-600, Brasil",-9.6344917,-35.7079324,ChIJWUmCoNpFAQcREiv3mUNGOTQ,true,ROOFTOP,street_address|subpremise,google_maps_geocoding_v1,2026-04-19T14:44:48Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AL_0010,AL.json,AL,ALAGOAS,Maceió,UPA Galba Novaes,"Av. Maceió, 341 - Tabuleiro do Martins, Maceió - AL, 57061-110",(82) 3315-3504,4156714,Escorpiônico,municipality inherited from previous row (blank in source),ALAGOAS,Maceió,UPA Galba Novaes,"Av. Maceió, 341 - Tabuleiro do Martins, Maceió - AL, 57061-110",(82) 3315-3504,Escorpiônico,"UPA Galba Novaes, Av. Maceió, 341 - Tabuleiro do Martins, Maceió - AL, 57061-110, Maceió, ALAGOAS, Brasil",,false,OK,"Av. Walter Ananias, S/N - Jaraguá, Maceió - AL, 57022-080, Brasil",-9.6685957,-35.7205606,ChIJX0t-0s9FAQcRKUslXi3OUDc,true,ROOFTOP,establishment|health|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:49Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AL_0011,AL.json,AL,ALAGOAS,Coruripe,UPA Coruripe,"Praça Dr. Castro Azevedo, 47 Centro",(82) 99127-1490,7471645,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Antiaracnídico,,ALAGOAS,Coruripe,UPA Coruripe,"Praça Dr. Castro Azevedo, 47 Centro",(82) 99127-1490,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Antiaracnídico","UPA Coruripe, Praça Dr. Castro Azevedo, 47 Centro, Coruripe, ALAGOAS, Brasil",,false,OK,"Praça Dr. Castro Azevedo, 47 - Centro, Coruripe - AL, 57230-000, Brasil",-10.126842,-36.1758756,ChIJg2GyDIJsBAcRMslsUuxLkWA,true,ROOFTOP,street_address|subpremise,google_maps_geocoding_v1,2026-04-19T14:44:49Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
AL_0012,AL.json,AL,ALAGOAS,Maragogi,UPA Maragogi,"AL-101, 200 - Maragogi, AL, 57955-000",(82) 99305-4192,7916043,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Antiaracnídico,,ALAGOAS,Maragogi,UPA Maragogi,"AL-101, 200 - Maragogi, AL, 57955-000",(82) 99305-4192,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Antiaracnídico","UPA Maragogi, AL-101, 200 - Maragogi, AL, 57955-000, Maragogi, ALAGOAS, Brasil",,false,OK,"AL-101, km 126 - 600 - Centro, Maragogi - AL, 57955-000, Brasil",-9.0200792,-35.2253222,ChIJj3FrUVv1AAcRh0oaHALqWL8,true,ROOFTOP,establishment|health|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:49Z,auto_accept,ROOFTOP + in Brazil + state-consistent; partial_match tolerated (other signals clean)
