row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes,state_clean,municipality_clean,health_unit_name_clean,address_clean,phones_clean,antivenoms_joined,geocode_query,normalization_notes,needs_review_pre_geocode,geocode_status,formatted_address,lat,lng,place_id,partial_match,location_type,result_types,geocode_provider,geocode_attempted_at,review_status,review_reasons,source_pdf_file,source_state_abbr_checked,source_state_name,geocoded_state_abbr,is_special_unit
BA_0020,BA.json,BA,BAHIA,Belmonte,Hospital José da Costa Pinto Dantas,"Rua Saldanha da Gama, s/n - Centro",(73) 3287-2991,2413922,Botrópico|Crotálico|Escorpiônico e Araneídico,ATENDIMENTO=SIM,BAHIA,Belmonte,Hospital José da Costa Pinto Dantas,"Rua Saldanha da Gama, s/n - Centro",(73) 3287-2991,"Botrópico, Crotálico, Escorpiônico e Araneídico","Hospital José da Costa Pinto Dantas, Rua Saldanha da Gama, s/n - Centro, Belmonte, BAHIA, Brasil",,false,OK,"R. Saldanha da Gama - Belmonte, BA, 45800-000, Brasil",-15.8587697,-38.8774288,ChIJ3b1S19g7NwcRHCDZUw2jQ90,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:49:11Z,watchlist,location_type=GEOMETRIC_CENTER,BA.json,BA,BAHIA,,false
BA_0120,BA.json,BA,BAHIA,Itarantim,Hospital Regional de Itarantim,"Rua Maria Quitéria, s/n – Centro",(73) 3266-2276,2417456,Botrópico|Crotálico|Elapídico|Laquético|Escorpiônico|Araneídico,ATENDIMENTO=SIM,BAHIA,Itarantim,Hospital Regional de Itarantim,"Rua Maria Quitéria, s/n – Centro",(73) 3266-2276,"Botrópico, Crotálico, Elapídico, Laquético, Escorpiônico, Araneídico","Hospital Regional de Itarantim, Rua Maria Quitéria, s/n – Centro, Itarantim, BAHIA, Brasil",,false,OK,"R. Maria Quitéria - Itarantim, BA, 45780-000, Brasil",-15.6546409,-40.0624971,ChIJm2258HUmSAcRqSJpj7H7_7Y,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:49:41Z,watchlist,location_type=GEOMETRIC_CENTER,BA.json,BA,BAHIA,,false
BA_0121,BA.json,BA,BAHIA,Itarantim,Hospital Regional de Itarantim,"Rua Maria Quitéria, s/n – Centro",(73) 3266-2276,2417456,Botrópico|Crotálico|Elapídico|Laquético|Escorpiônico|Araneídico,ATENDIMENTO=SIM; entry duplicated in source PDF (appears twice on page 17),BAHIA,Itarantim,Hospital Regional de Itarantim,"Rua Maria Quitéria, s/n – Centro",(73) 3266-2276,"Botrópico, Crotálico, Elapídico, Laquético, Escorpiônico, Araneídico","Hospital Regional de Itarantim, Rua Maria Quitéria, s/n – Centro, Itarantim, BAHIA, Brasil",,false,OK,"R. Maria Quitéria - Itarantim, BA, 45780-000, Brasil",-15.6546409,-40.0624971,ChIJm2258HUmSAcRqSJpj7H7_7Y,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:49:41Z,watchlist,location_type=GEOMETRIC_CENTER,BA.json,BA,BAHIA,,false
BA_0131,BA.json,BA,BAHIA,Jaguaquara,Hospital Municipal de Jaguaquara,"Av. Pio XII, 166 - Muritiba",(73) 3534-1053,2802252,Botrópico|Crotálico|Elapídico|Escorpiônico|Araneídico,ATENDIMENTO=SIM,BAHIA,Jaguaquara,Hospital Municipal de Jaguaquara,"Av. Pio XII, 166 - Muritiba",(73) 3534-1053,"Botrópico, Crotálico, Elapídico, Escorpiônico, Araneídico","Hospital Municipal de Jaguaquara, Av. Pio XII, 166 - Muritiba, Jaguaquara, BAHIA, Brasil",,false,OK,"Av. Pio XII - Muritiba, Jaguaquara - BA, 45345-000, Brasil",-13.5309007,-39.9731347,ChIJywIFZHh9PwcRLowNN0Lb-5U,false,GEOMETRIC_CENTER,doctor|establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:49:44Z,watchlist,location_type=GEOMETRIC_CENTER,BA.json,BA,BAHIA,BA,false
BA_0232,BA.json,BA,BAHIA,Tapiramutá,Hospital Municipal Dr. José Nery,"Av. Cafeeira, s/n - Centro",74 98138-0329,2524805,Botrópico|Crotálico,ATENDIMENTO=SIM,BAHIA,Tapiramutá,Hospital Municipal Dr. José Nery,"Av. Cafeeira, s/n - Centro",74 98138-0329,"Botrópico, Crotálico","Hospital Municipal Dr. José Nery, Av. Cafeeira, s/n - Centro, Tapiramutá, BAHIA, Brasil",,false,OK,"Av. Cafeeira - Tapiramutá, BA, 44840-000, Brasil",-11.8491791,-40.7938573,ChIJJwaknlGjawcRpc6c_8Wi6S8,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:50:13Z,watchlist,location_type=GEOMETRIC_CENTER,BA.json,BA,BAHIA,,false
CE_0031,CE.json,CE,CEARÁ,Pedra Branca,Hospital Municipal São Sebastião,R. Furtunato Silva - Bom Princípio,(88) 3515-1026,2723255,Crotálico|Laquético|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,CEARÁ,Pedra Branca,Hospital Municipal São Sebastião,R. Furtunato Silva - Bom Princípio,(88) 3515-1026,"Crotálico, Laquético, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","Hospital Municipal São Sebastião, R. Furtunato Silva - Bom Princípio, Pedra Branca, CEARÁ, Brasil",,false,OK,"R. Furtunato Silva - Bom Princípio, Pedra Branca - CE, 63630-000, Brasil",-5.4589873,-39.7171238,ChIJh8VuOhievQcRMKGTN6TSBn4,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:50:28Z,watchlist,location_type=GEOMETRIC_CENTER,CE.json,CE,CEARÁ,CE,false
GO_0007,GO.json,GO,GOIÁS,Aporé,Hospital Municipal Dr. José Quaranta Filho,"Avenida João Nunes, 301 - Centro",(64) 3644-1164,2442752,Crotálico|Fonêutrico|Loxoscélico|Escorpiônico,,GOIÁS,Aporé,Hospital Municipal Dr. José Quaranta Filho,"Avenida João Nunes, 301 - Centro",(64) 3644-1164,"Crotálico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Municipal Dr. José Quaranta Filho, Avenida João Nunes, 301 - Centro, Aporé, GOIÁS, Brasil",,false,OK,"Av. João Nunes, Aporé - GO, 75825-000, Brasil",-18.9672535,-51.9269428,ChIJBckkrhpanJQR85iyJ6EjE0w,false,GEOMETRIC_CENTER,establishment|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:50:58Z,watchlist,location_type=GEOMETRIC_CENTER,GO.json,GO,GOIÁS,GO,false
GO_0057,GO.json,GO,GOIÁS,Mozarlândia,Hospital Municipal de Mozarlândia,"Rua São Paulo, s/n - Centro",(62) 3348-7657,2535165,Botrópico|Crotálico|Escorpiônico|Fonêutrico|Loxoscélico,,GOIÁS,Mozarlândia,Hospital Municipal de Mozarlândia,"Rua São Paulo, s/n - Centro",(62) 3348-7657,"Botrópico, Crotálico, Escorpiônico, Fonêutrico, Loxoscélico","Hospital Municipal de Mozarlândia, Rua São Paulo, s/n - Centro, Mozarlândia, GOIÁS, Brasil",,false,OK,"R. São Paulo, Mozarlândia - GO, 76700-000, Brasil",-14.750471,-50.5753174,ChIJBRjvczhTaJMR-tuqpUgMcuA,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:51:13Z,watchlist,location_type=GEOMETRIC_CENTER,GO.json,GO,GOIÁS,GO,false
GO_0084,GO.json,GO,GOIÁS,Trindade,UPA de Trindade,"Avenida Tiradentes, s/n - Setor Soares",(62)3577-4595,9058079,Botrópico|Crotálico|Escorpiônico|Fonêutrico|Loxoscélico,,GOIÁS,Trindade,UPA de Trindade,"Avenida Tiradentes, s/n - Setor Soares",(62)3577-4595,"Botrópico, Crotálico, Escorpiônico, Fonêutrico, Loxoscélico","UPA de Trindade, Avenida Tiradentes, s/n - Setor Soares, Trindade, GOIÁS, Brasil",,false,OK,"Av. Tiradentes - St. Soares, Trindade - GO, 75380-000, Brasil",-16.6371043,-49.4128401,ChIJ3yMZDCleXpMRUEI3fMew96w,false,GEOMETRIC_CENTER,establishment|health|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:51:21Z,watchlist,location_type=GEOMETRIC_CENTER,GO.json,GO,GOIÁS,GO,false
MA_0036,MA.json,MA,MARANHÃO,CANTANHEDE,Hospital Santa Filomena,Praça Psulo Rodrigues - Centro,(98) 3463 2596,2307510,SAB|SAC|SABC|SABL|SAE|SAAr|SAEsc,,MARANHÃO,CANTANHEDE,Hospital Santa Filomena,Praça Psulo Rodrigues - Centro,(98) 3463 2596,"SAB, SAC, SABC, SABL, SAE, SAAr, SAEsc","Hospital Santa Filomena, Praça Psulo Rodrigues - Centro, CANTANHEDE, MARANHÃO, Brasil",,false,OK,"MA-332, Cantanhede - MA, 65465-000, Brasil",-3.6344124,-44.3776192,ChIJJyGyMlMqiwcRryBhHuNVK9w,false,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:51:32Z,watchlist,location_type=GEOMETRIC_CENTER,MA.json,MA,MARANHÃO,MA,false
