row_id,source_state_abbr,source_state_file,source_pdf_filename,state,municipality,health_unit_name,address,cnes,geocode_query,formatted_address,lat,lng,place_id,partial_match,location_type,review_status,review_reasons
AM_0075,AM,AM.json,AM_20251110.pdf,AMAZONAS,São Gabriel da Cachoeira,2º Pelotão Especial de Fronteira do Exército (5º BIS),Comunidade Querari,4004752,"2º Pelotão Especial de Fronteira do Exército (5º BIS), Comunidade Querari, São Gabriel da Cachoeira, AMAZONAS, Brasil","Querari, Mitú, Vaupés, Colômbia",1.04885,-69.85494,ChIJG0fSFUp7A44RcjL9E37sw7U,true,APPROXIMATE,manual_review_high_risk,formatted_address ends with non-Brazil country (Colômbia)
BA_0139,BA,BA.json,BA_20260105.pdf,BAHIA,Jucuruçu,Hospital Municipal Paulo Souto,Av. Manoel Rodrigues s/nº - Califórnia,2533413,"Hospital Municipal Paulo Souto, Av. Manoel Rodrigues s/nº - Califórnia, Jucuruçu, BAHIA, Brasil","Califórnia, EUA",36.778261,-119.4179324,ChIJPV4oX_65j4ARVW8IJ6IJUYs,true,APPROXIMATE,manual_review_high_risk,coordinates outside Brazil
BA_0199,BA,BA.json,BA_20260105.pdf,BAHIA,Rio Real,Hospital e Maternidade Maria Amelia Menezes Santos,"Rua Monsenhor Florisvaldo, 709 - Centro",2653699,"Hospital e Maternidade Maria Amelia Menezes Santos, Rua Monsenhor Florisvaldo, 709 - Centro, Rio Real, BAHIA, Brasil","Centro, Rio de Janeiro - RJ, Brasil",-22.9012249,-43.1791747,ChIJF3IcFV5_mQARfbkw_ML5_X8,true,APPROXIMATE,manual_review_high_risk,geocoded_state_abbr=RJ differs from source_state_abbr=BA (standard hospital-type unit)
BA_0219,BA,BA.json,BA_20260105.pdf,BAHIA,Sebastião Laranjeiras,Hospital Municipal de Sebastião Laranjeiras (Hosp. Munic. Walter Leão Rocha),"Rua Tiradentes, 426 - Centro",2523299,"Hospital Municipal de Sebastião Laranjeiras (Hosp. Munic. Walter Leão Rocha), Rua Tiradentes, 426 - Centro, Sebastião Laranjeiras, BAHIA, Brasil","Centro, Campinas - SP, Brasil",-22.9101744,-47.0593274,ChIJhVqSQbfIyJQRWGnHTixUZX8,true,APPROXIMATE,manual_review_high_risk,geocoded_state_abbr=SP differs from source_state_abbr=BA (standard hospital-type unit)
MA_0135,MA,MA.json,MA_20260105.pdf,MARANHÃO,SÃO DOMINGOS DO AZEITÃO,Hospital Municipal Rita Frca dos Santos Mãe Rita,"Rua da Assembleia, Nº 10, Centro",2465027,"Hospital Municipal Rita Frca dos Santos Mãe Rita, Rua da Assembleia, Nº 10, Centro, SÃO DOMINGOS DO AZEITÃO, MARANHÃO, Brasil","Centro, Rio de Janeiro - RJ, Brasil",-22.9012249,-43.1791747,ChIJF3IcFV5_mQARfbkw_ML5_X8,true,APPROXIMATE,manual_review_high_risk,geocoded_state_abbr=RJ differs from source_state_abbr=MA (standard hospital-type unit)
MT_0043,MT,MT.json,MT_20260105.pdf,MATO GROSSO,Itiquira,Hospital Municipal Osnir Bortolini,"Avenida 13 e maio,500-Centro",2395916,"Hospital Municipal Osnir Bortolini, Avenida 13 e maio,500-Centro, Itiquira, MATO GROSSO, Brasil","Centro Norte, Várzea Grande - MT, Brasil",-15.6463035,-56.1294025,ChIJr_v-neutnZMRIIvb7_q11B8,true,APPROXIMATE,manual_review_high_risk,"place_id reused across multiple unrelated (municipality, state) pairs"
MT_0048,MT,MT.json,MT_20260105.pdf,MATO GROSSO,Juruena,Hospital Municipal de Juruena Renilda de Fátima de Morais,"Travessa Lucinda Kniess, Nº 20, Centro",2392895,"Hospital Municipal de Juruena Renilda de Fátima de Morais, Travessa Lucinda Kniess, Nº 20, Centro, Juruena, MATO GROSSO, Brasil","Centro Norte, Várzea Grande - MT, Brasil",-15.6463035,-56.1294025,ChIJr_v-neutnZMRIIvb7_q11B8,true,APPROXIMATE,manual_review_high_risk,"place_id reused across multiple unrelated (municipality, state) pairs"
MT_0053,MT,MT.json,MT_20260105.pdf,MATO GROSSO,Matupá,Hospital Municipal,"Rua 01, n.º 24-Centro",2391724,"Hospital Municipal, Rua 01, n.º 24-Centro, Matupá, MATO GROSSO, Brasil","Centro Norte, Várzea Grande - MT, Brasil",-15.6463035,-56.1294025,ChIJr_v-neutnZMRIIvb7_q11B8,true,APPROXIMATE,manual_review_high_risk,"place_id reused across multiple unrelated (municipality, state) pairs"
MT_0091,MT,MT.json,MT_20260105.pdf,MATO GROSSO,São José do Povo,Centro de Saúde de São José,"Rua Castelo Branco, s/n.º Centro",2397145,"Centro de Saúde de São José, Rua Castelo Branco, s/n.º Centro, São José do Povo, MATO GROSSO, Brasil","Centro, São José - SC, Brasil",-27.6129026,-48.6313699,ChIJ6zozOwk2J5URsNvdS2jslbI,true,APPROXIMATE,manual_review_high_risk,geocoded_state_abbr=SC differs from source_state_abbr=MT (standard hospital-type unit)
PA_0103,PA,PA.json,PA_20260105.pdf,PARÁ,Oeiras do Pará,Hospital de Pequeno Porte,"Travessa Honório Bastos, 1008 - Santa Maria",6578373,"Hospital de Pequeno Porte, Travessa Honório Bastos, 1008 - Santa Maria, Oeiras do Pará, PARÁ, Brasil","Santa Maria - RS, Brasil",-29.68949839999999,-53.7923441,ChIJv2elDV3LA5URl3J_fx6cTaQ,true,APPROXIMATE,manual_review_high_risk,geocoded_state_abbr=RS differs from source_state_abbr=PA (standard hospital-type unit)
PE_0009,PE,PE.json,PE_20260105.pdf,PERNAMBUCO,Palmares,Hospital Regional Sílvio Magalhães,"BR 101, Km 185, s/n - Engenho Quilombo dos Palmares",2428393,"Hospital Regional Sílvio Magalhães, BR 101, Km 185, s/n - Engenho Quilombo dos Palmares, Palmares, PERNAMBUCO, Brasil","BR-101, KM 185 - Guaporanga, Biguaçu - SC, 88168-400, Brasil",-27.4227872,-48.6243631,ChIJsbImLytRJ5URwRhtC6dBRAI,true,ROOFTOP,manual_review_high_risk,geocoded_state_abbr=SC differs from source_state_abbr=PE (standard hospital-type unit)
PR_0031,PR,PR.json,PR_20260105.pdf,PARANÁ,Capitão Leônidas Marques,Hospital Nossa Senhora da Aparecida - APMI,"Rua Pedro Dalibra, s/n - Cidade Baixa",2571811,"Hospital Nossa Senhora da Aparecida - APMI, Rua Pedro Dalibra, s/n - Cidade Baixa, Capitão Leônidas Marques, PARANÁ, Brasil","Cidade Baixa, Porto Alegre - RS, Brasil",-30.0401669,-51.2228614,ChIJoRwLwv94GZUR7zmALAtDhB4,true,APPROXIMATE,manual_review_high_risk,geocoded_state_abbr=RS differs from source_state_abbr=PR (standard hospital-type unit)
PR_0139,PR,PR.json,PR_20260105.pdf,PARANÁ,Piraí do Sul,Hospital Municipal Santo Antonio,"Rua Joanino Milléo, 49 - Centro",2687046,"Hospital Municipal Santo Antonio, Rua Joanino Milléo, 49 - Centro, Piraí do Sul, PARANÁ, Brasil","Centro Histórico, Porto Alegre - RS, Brasil",-30.0308043,-51.2278242,ChIJqz4ETQ55GZUR1I_huiAImnY,true,APPROXIMATE,manual_review_high_risk,geocoded_state_abbr=RS differs from source_state_abbr=PR (standard hospital-type unit)
RR_0034,RR,RR.json,RR_20251218.pdf,RORAIMA,Pacaraima,Hospital Délio de Oliveira Tupinambá,"Rua Caribe, s/n - Centro",2476827,"Hospital Délio de Oliveira Tupinambá, Rua Caribe, s/n - Centro, Pacaraima, RORAIMA, Brasil","4°29'11.8""N 61°08'28.1""W - 1, 8, Piraí do Sul - PR, 84240-000, Brasil",4.486599,-61.141127,ChIJvQnJJ8v8v40Ra9XMS0L0sAM,true,ROOFTOP,manual_review_high_risk,geocoded_state_abbr=PR differs from source_state_abbr=RR (standard hospital-type unit)
