row_id,source_state_abbr,municipality,health_unit_name,old_formatted_address,old_lat,old_lng,old_place_id,old_score,old_review_reasons,best_candidate_pattern,best_candidate_query,best_formatted_address,best_lat,best_lng,best_place_id,best_partial_match,best_location_type,best_candidate_score,best_candidate_reasons,score_delta,repair_outcome
AM_0075,AM,São Gabriel da Cachoeira,2º Pelotão Especial de Fronteira do Exército (5º BIS),"Querari, Mitú, Vaupés, Colômbia",1.04885,-69.85494,ChIJG0fSFUp7A44RcjL9E37sw7U,-165,formatted_address ends with non-Brazil country (Colômbia),unit_muni_state,"2º Pelotão Especial de Fronteira do Exército (5º BIS), São Gabriel da Cachoeira, AMAZONAS, Brasil","São Gabriel da Cachoeira - AM, 69750-000, Brasil",-0.1296579,-67.07045959999999,ChIJw8aLsvINAJIRq_rQGcum71w,true,GEOMETRIC_CENTER,120,in_brazil +50; state_match(AM) +40; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; generic_fa -15; partial+non_rooftop -5,285,improved_confidently
BA_0139,BA,Jucuruçu,Hospital Municipal Paulo Souto,"Califórnia, EUA",36.778261,-119.4179324,ChIJPV4oX_65j4ARVW8IJ6IJUYs,-445,coordinates outside Brazil,addr_muni_state,"Av. Manoel Rodrigues s/nº - Califórnia, Jucuruçu, BAHIA, Brasil","Av. Manoel Rodrigues da Silva, Jucuruçu - BA, 45834-000, Brasil",-16.8385449,-40.153962,ChIJy6K4PTBuSgcR9Jesj61-smo,true,GEOMETRIC_CENTER,150,in_brazil +50; state_match(BA) +40; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5,595,improved_confidently
BA_0199,BA,Rio Real,Hospital e Maternidade Maria Amelia Menezes Santos,"Centro, Rio de Janeiro - RJ, Brasil",-22.9012249,-43.1791747,ChIJF3IcFV5_mQARfbkw_ML5_X8,-75,geocoded_state_abbr=RJ differs from source_state_abbr=BA (standard hospital-type unit),addr_muni_state,"Rua Monsenhor Florisvaldo, 709 - Centro, Rio Real, BAHIA, Brasil","R. Afonso Florisvaldo, 709, Rio Real - BA, 48330-000, Brasil",-11.4784775,-37.93355450000001,EjxSLiBBZm9uc28gRmxvcmlzdmFsZG8sIDcwOSwgUmlvIFJlYWwgLSBCQSwgNDgzMzAtMDAwLCBCcmF6aWwiMRIvChQKEgktQSko4_wQBxHLUVnpInT94hDFBSoUChIJsWzCFfv8EAcR0c1FVtAiCUs,true,RANGE_INTERPOLATED,155,in_brazil +50; state_match(BA) +40; muni_in_fa +30; loc_type=RANGE_INTERPOLATED +25; specific_fa +15; partial+non_rooftop -5,230,improved_confidently
BA_0219,BA,Sebastião Laranjeiras,Hospital Municipal de Sebastião Laranjeiras (Hosp. Munic. Walter Leão Rocha),"Centro, Campinas - SP, Brasil",-22.9101744,-47.0593274,ChIJhVqSQbfIyJQRWGnHTixUZX8,-75,geocoded_state_abbr=SP differs from source_state_abbr=BA (standard hospital-type unit),unit_muni_state,"Hospital Municipal de Sebastião Laranjeiras (Hosp. Munic. Walter Leão Rocha), Sebastião Laranjeiras, BAHIA, Brasil","Av. Tiradentes - Sebastião Laranjeiras, BA, 46450-000, Brasil",-14.5710273,-42.94450519999999,ChIJv5QKeuGdWgcR33ZQY6MjZTc,true,GEOMETRIC_CENTER,110,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5,185,improved_confidently
MA_0135,MA,SÃO DOMINGOS DO AZEITÃO,Hospital Municipal Rita Frca dos Santos Mãe Rita,"Centro, Rio de Janeiro - RJ, Brasil",-22.9012249,-43.1791747,ChIJF3IcFV5_mQARfbkw_ML5_X8,-75,geocoded_state_abbr=RJ differs from source_state_abbr=MA (standard hospital-type unit),unit_muni_state,"Hospital Municipal Rita Frca dos Santos Mãe Rita, SÃO DOMINGOS DO AZEITÃO, MARANHÃO, Brasil","R. Matagal, São Domingos do Azeitão - MA, 65888-000, Brasil",-6.8116501,-44.64654549999999,ChIJFa9cOADBgAcRujROmqMdRWo,true,GEOMETRIC_CENTER,150,in_brazil +50; state_match(MA) +40; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5,225,improved_confidently
MT_0043,MT,Itiquira,Hospital Municipal Osnir Bortolini,"Centro Norte, Várzea Grande - MT, Brasil",-15.6463035,-56.1294025,ChIJr_v-neutnZMRIIvb7_q11B8,-5,"place_id reused across multiple unrelated (municipality, state) pairs",unit_muni_state,"Hospital Municipal Osnir Bortolini, Itiquira, MATO GROSSO, Brasil","Av. Treze de Maio, 500 - CENTRO, Itiquira - MT, 78790-000, Brasil",-17.2036007,-54.1467109,ChIJH1eGgmFXeZMR_j8KQuIYaQk,false,ROOFTOP,175,in_brazil +50; state_match(MT) +40; muni_in_fa +30; loc_type=ROOFTOP +40; specific_fa +15,180,improved_confidently
MT_0048,MT,Juruena,Hospital Municipal de Juruena Renilda de Fátima de Morais,"Centro Norte, Várzea Grande - MT, Brasil",-15.6463035,-56.1294025,ChIJr_v-neutnZMRIIvb7_q11B8,-5,"place_id reused across multiple unrelated (municipality, state) pairs",unit_muni_state,"Hospital Municipal de Juruena Renilda de Fátima de Morais, Juruena, MATO GROSSO, Brasil","Travessa Lucinda Kniess, 20 - Centro, Juruena - MT, 78340-000, Brasil",-10.3256243,-58.49373120000001,ChIJZS_nIXYCspMRf-YzqniQdKQ,true,ROOFTOP,175,in_brazil +50; state_match(MT) +40; muni_in_fa +30; loc_type=ROOFTOP +40; specific_fa +15,180,improved_confidently
MT_0053,MT,Matupá,Hospital Municipal,"Centro Norte, Várzea Grande - MT, Brasil",-15.6463035,-56.1294025,ChIJr_v-neutnZMRIIvb7_q11B8,-5,"place_id reused across multiple unrelated (municipality, state) pairs",unit_muni_state,"Hospital Municipal, Matupá, MATO GROSSO, Brasil","Matupá - MT, Brasil",-10.1701541,-54.9255998,ChIJCyXeSA0vB5MRdYkTQgNJVB8,true,APPROXIMATE,105,in_brazil +50; state_match(MT) +40; muni_in_fa +30; loc_type=APPROXIMATE +5; generic_fa -15; partial+non_rooftop -5,110,improved_confidently
MT_0091,MT,São José do Povo,Centro de Saúde de São José,"Centro, São José - SC, Brasil",-27.6129026,-48.6313699,ChIJ6zozOwk2J5URsNvdS2jslbI,-75,geocoded_state_abbr=SC differs from source_state_abbr=MT (standard hospital-type unit),addr_muni_state,"Rua Castelo Branco, s/n.º Centro, São José do Povo, MATO GROSSO, Brasil","R. Castelo Branco - São José do Povo, MT, 78773-000, Brasil",-16.4640829,-54.2537333,ChIJj2kvpYiNeZMRLmdISelec4U,true,GEOMETRIC_CENTER,110,in_brazil +50; state_unknown; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5,185,improved_confidently
PA_0103,PA,Oeiras do Pará,Hospital de Pequeno Porte,"Santa Maria - RS, Brasil",-29.68949839999999,-53.7923441,ChIJv2elDV3LA5URl3J_fx6cTaQ,-75,geocoded_state_abbr=RS differs from source_state_abbr=PA (standard hospital-type unit),addr_muni_state,"Travessa Honório Bastos, 1008 - Santa Maria, Oeiras do Pará, PARÁ, Brasil","R. Honório Bastos, Oeiras do Pará - PA, 68470-000, Brasil",-2.0066349,-49.8615054,EjtSLiBIb27Ds3JpbyBCYXN0b3MsIE9laXJhcyBkbyBQYXLDoSAtIFBBLCA2ODQ3MC0wMDAsIEJyYXppbCIuKiwKFAoSCRknh253UL2SEY9RjGhiv5-UEhQKEgkxHoRGqFq9khFulGifqfEXRA,true,GEOMETRIC_CENTER,150,in_brazil +50; state_match(PA) +40; muni_in_fa +30; loc_type=GEOMETRIC_CENTER +20; specific_fa +15; partial+non_rooftop -5,225,improved_confidently
