row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes,state_clean,municipality_clean,health_unit_name_clean,address_clean,phones_clean,antivenoms_joined,geocode_query,normalization_notes,needs_review_pre_geocode,geocode_status,formatted_address,lat,lng,place_id,partial_match,location_type,result_types,geocode_provider,geocode_attempted_at,original_formatted_address,original_lat,original_lng,original_place_id,original_partial_match,original_location_type,original_review_reasons,repair_applied,repair_source,repair_outcome,final_status,publish_policy
AC_0001,AC.json,AC,ACRE,Acrelândia,Unidade Mista de Saúde de Acrelândia,"Avenida Paraná, 346 – Centro",(68) 3235-1188,5701929,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Acrelândia,Unidade Mista de Saúde de Acrelândia,"Avenida Paraná, 346 – Centro",(68) 3235-1188,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Saúde de Acrelândia, Avenida Paraná, 346 – Centro, Acrelândia, ACRE, Brasil",,false,OK,"Av. Paraná, 346 - centro, Acrelândia - AC, 69945-000, Brasil",-10.0818717,-67.0565355,ChIJVVV4vAVB1ZMRrCj3O-gRNd8,true,ROOFTOP,street_address|subpremise,google_maps_geocoding_v1,2026-04-19T14:44:41Z,,,,,,,,false,,,publish_ready,publish
AC_0002,AC.json,AC,ACRE,Assis Brasil,Unidade Mista de Assis Brasil,"Rua D. Giocondo Maria Grotti, s/n - Centro",(68) 3548-1135,2001020,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Assis Brasil,Unidade Mista de Assis Brasil,"Rua D. Giocondo Maria Grotti, s/n - Centro",(68) 3548-1135,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Assis Brasil, Rua D. Giocondo Maria Grotti, s/n - Centro, Assis Brasil, ACRE, Brasil",,false,OK,"Seringal Paraguaçu, Assis Brasil - AC, 69935-000, Brasil",-10.9422053,-69.56220490000001,ChIJ1xMG0nwMeZERXSqVJl0L-VE,true,GEOMETRIC_CENTER,establishment|health|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:41Z,,,,,,,,false,,,retry_queue,publish
AC_0003,AC.json,AC,ACRE,Brasiléia,Hospital de Clínicas Raimundo Chaar,"BR 317, km 01, Bairro ALberto Castro s/n",(68) 3546-3804,2001500,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Brasiléia,Hospital de Clínicas Raimundo Chaar,"BR 317, km 01, Bairro ALberto Castro s/n",(68) 3546-3804,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Hospital de Clínicas Raimundo Chaar, BR 317, km 01, Bairro ALberto Castro s/n, Brasiléia, ACRE, Brasil",,false,OK,"BR-317 & R. Raimundo Chaar, Assis Brasil - AC, 69935-000, Brasil",-10.9332298,-69.5653925,EkBCUi0zMTcgJiBSLiBSYWltdW5kbyBDaGFhciwgQXNzaXMgQnJhc2lsIC0gQUMsIDY5OTM1LTAwMCwgQnJhemlsImYiZAoUChIJf1SHk3AMeZERqX3P8MH-Kk4SFAoSCX9Uh5NwDHmREal9z_DB_ipOGhQKEgmB8OukV50qkhHr2NC6y-eaHRoUChIJ72EBznsMeZERE_Ff1YfgFPsiCg22uHv5FdspidY,true,GEOMETRIC_CENTER,intersection,google_maps_geocoding_v1,2026-04-19T14:44:41Z,,,,,,,,false,,,retry_queue,hide_muni_mismatch
AC_0004,AC.json,AC,ACRE,Cruzeiro do Sul,Hospital Regional do Juruá,"Avenida 25 de Agosto, 5121 - Aeroporto Velho",(68) 3322-5516,5336171,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Cruzeiro do Sul,Hospital Regional do Juruá,"Avenida 25 de Agosto, 5121 - Aeroporto Velho",(68) 3322-5516,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Regional do Juruá, Avenida 25 de Agosto, 5121 - Aeroporto Velho, Cruzeiro do Sul, ACRE, Brasil",,false,OK,"Av. 25 de Agosto, 5121 - Aeroporto Velho, Cruzeiro do Sul - AC, 69895-000, Brasil",-7.5954959,-72.683104,ChIJTxCRApnSmZERTKsTslmiZho,false,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:42Z,,,,,,,,false,,,publish_ready,publish
AC_0005,AC.json,AC,ACRE,Feijó,Hospital Geral de Feijó,"Avenida Mal. Deodoro, s/n - Centro",(68) 99222-5074,2000636,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Feijó,Hospital Geral de Feijó,"Avenida Mal. Deodoro, s/n - Centro",(68) 99222-5074,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Geral de Feijó, Avenida Mal. Deodoro, s/n - Centro, Feijó, ACRE, Brasil",,false,OK,"Av. Mal. Deodoro, s/n - centro, Feijó - AC, 69960-000, Brasil",-8.172503899999999,-70.3606215,ChIJSb88SY3NhJERFuXnOBJaZig,false,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:42Z,,,,,,,,false,,,publish_ready,publish
AC_0006,AC.json,AC,ACRE,Jordão,Hospital da Família de Jordão,"Rua Romildo Magalhães, s/n – Centro",(68) 3464-1037,5353947,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Jordão,Hospital da Família de Jordão,"Rua Romildo Magalhães, s/n – Centro",(68) 3464-1037,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital da Família de Jordão, Rua Romildo Magalhães, s/n – Centro, Jordão, ACRE, Brasil",,false,OK,"Jordão - AC, Brasil",-9.1911243,-71.9503355,ChIJvbwD5sbUnZERuNF2ebJ3Vgc,true,APPROXIMATE,administrative_area_level_2|political,google_maps_geocoding_v1,2026-04-19T14:44:42Z,,,,,,,,false,,,retry_queue,hide_state_only
AC_0007,AC.json,AC,ACRE,Mâncio Lima,Hospital Dr. Abel Pinheiro Maciel Filho,"Avenida Japiim, s/n - Centro",(68) 99946-0048 / 99986 2932,2000083,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Mâncio Lima,Hospital Dr. Abel Pinheiro Maciel Filho,"Avenida Japiim, s/n - Centro",(68) 99946-0048 / 99986 2932,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Dr. Abel Pinheiro Maciel Filho, Avenida Japiim, s/n - Centro, Mâncio Lima, ACRE, Brasil",,false,OK,"Mancio Lima, Mâncio Lima - AC, 69990-000, Brasil",-7.607801599999999,-72.9085115,ChIJZVuSOVIlmJER61cHvkmSZJA,true,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:42Z,,,,,,,,false,,,retry_queue,publish
AC_0008,AC.json,AC,ACRE,Manoel Urbano,Unidade Mista de Manuel Urbano,"Rua Francisco Freitas, s/n - São José",(68) 3611-1005,2000970,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Manoel Urbano,Unidade Mista de Manuel Urbano,"Rua Francisco Freitas, s/n - São José",(68) 3611-1005,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Manuel Urbano, Rua Francisco Freitas, s/n - São José, Manoel Urbano, ACRE, Brasil",,false,OK,"R. Francisco Freitas, Manoel Urbano - AC, 69950-000, Brasil",-8.8416712,-69.2606042,ChIJ00jim5Xsg5ER5yje9_-CGrs,true,GEOMETRIC_CENTER,route,google_maps_geocoding_v1,2026-04-19T14:44:43Z,,,,,,,,false,,,retry_queue,publish
AC_0009,AC.json,AC,ACRE,Marechal Thaumaturgo,Unidade Mista de Marechal Thaumaturgo,"Rua 5 de novembro, s/n - Centro",(68) 3325-1048,2001594,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Marechal Thaumaturgo,Unidade Mista de Marechal Thaumaturgo,"Rua 5 de novembro, s/n - Centro",(68) 3325-1048,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Marechal Thaumaturgo, Rua 5 de novembro, s/n - Centro, Marechal Thaumaturgo, ACRE, Brasil",,false,OK,"Mal. Thaumaturgo - AC, 69983-000, Brasil",-8.9483336,-72.7858033,ChIJC4sd7qMon5ERpHipOBX6lQI,true,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:43Z,,,,,,,,false,,,retry_queue,hide_muni_mismatch
AC_0010,AC.json,AC,ACRE,Plácido de Castro,Hospital Dr. Manoel Marinho Monte,"Rua Epitácio Pessoa, 550 - Centro",(68) 3237-1821,2000997,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Plácido de Castro,Hospital Dr. Manoel Marinho Monte,"Rua Epitácio Pessoa, 550 - Centro",(68) 3237-1821,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Dr. Manoel Marinho Monte, Rua Epitácio Pessoa, 550 - Centro, Plácido de Castro, ACRE, Brasil",,false,OK,"69928-000 - R. José Ferreira Lima, 278-454 - Centro, Plácido de Castro - AC, 69928-000, Brasil",-10.3328825,-67.184598,ChIJ82DGFXRw1ZMRAoB7w8Xsg-4,true,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:43Z,,,,,,,,false,,,publish_ready,publish
AC_0011,AC.json,AC,ACRE,Porto Walter,Unidade Mista de Porto Walter,"Rua Mamede Cameli, s/n - Centro",(68) 8422-2372,5661714,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Porto Walter,Unidade Mista de Porto Walter,"Rua Mamede Cameli, s/n - Centro",(68) 8422-2372,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Porto Walter, Rua Mamede Cameli, s/n - Centro, Porto Walter, ACRE, Brasil",,false,OK,"R. Mamede Cameli, Porto Walter - AC, 69982-000, Brasil",-8.2616019,-72.757742,ChIJA2EquDr9mJERTmb6nv1WklY,true,GEOMETRIC_CENTER,route,google_maps_geocoding_v1,2026-04-19T14:44:44Z,,,,,,,,false,,,retry_queue,publish
AC_0012,AC.json,AC,ACRE,Rio Branco,HUERB - Hosp. de Urgência e Emergência de Rio Branco,"Avenida Nações Unidas, 700 - Bosque",(68) 3223-3080,2001578,Botrópico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ACRE,Rio Branco,HUERB - Hosp. de Urgência e Emergência de Rio Branco,"Avenida Nações Unidas, 700 - Bosque",(68) 3223-3080,"Botrópico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","HUERB - Hosp. de Urgência e Emergência de Rio Branco, Avenida Nações Unidas, 700 - Bosque, Rio Branco, ACRE, Brasil",,false,OK,"Av. Nações Unidas, 700 - Bosque, Rio Branco - AC, 69900-478, Brasil",-9.9651374,-67.81443949999999,ChIJ6RIaWleMf5ERYg1Ldn-BZGM,true,ROOFTOP,premise|street_address,google_maps_geocoding_v1,2026-04-19T14:44:44Z,,,,,,,,false,,,publish_ready,publish
AC_0013,AC.json,AC,ACRE,Santa Rosa do Purus,Unidade Mista de Santa Rosa do Purus,"Rua Raimundo Fernandes de Moura, s/n - Cidade Nova",(68) 3615-1056,5858208,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Santa Rosa do Purus,Unidade Mista de Santa Rosa do Purus,"Rua Raimundo Fernandes de Moura, s/n - Cidade Nova",(68) 3615-1056,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Santa Rosa do Purus, Rua Raimundo Fernandes de Moura, s/n - Cidade Nova, Santa Rosa do Purus, ACRE, Brasil",,false,OK,"R. 28 de - Rua do Marco, Santa Rosa do Purus - AC, 69955-000, Brasil",-9.442187299999999,-70.4878942,ChIJR-gS5p0tnZER1EbhY-1Zyjc,true,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:44Z,,,,,,,,false,,,retry_queue,publish
AC_0014,AC.json,AC,ACRE,Sena Madureira,Hospital João Câncio Fernandes,"Rua Quintino Bocaiúva, 1054 - Centro",(68) 3612-2271,2000865,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Sena Madureira,Hospital João Câncio Fernandes,"Rua Quintino Bocaiúva, 1054 - Centro",(68) 3612-2271,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Hospital João Câncio Fernandes, Rua Quintino Bocaiúva, 1054 - Centro, Sena Madureira, ACRE, Brasil",,false,OK,"R. Quintino Bocaiúva, 1054 - Centro, Sena Madureira - AC, 69940-000, Brasil",-9.0672348,-68.6579612,ChIJldeVPChugZERbnpxPwdyejM,true,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:45Z,,,,,,,,false,,,publish_ready,publish
AC_0015,AC.json,AC,ACRE,Senador Guiomard,Hospital Dr. Ari Rodrigues,"Avenida Eduardo Assmar, 133 - COHAB",(68) 3232-2667,2000725,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Senador Guiomard,Hospital Dr. Ari Rodrigues,"Avenida Eduardo Assmar, 133 - COHAB",(68) 3232-2667,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Dr. Ari Rodrigues, Avenida Eduardo Assmar, 133 - COHAB, Senador Guiomard, ACRE, Brasil",,false,OK,"R. Sen. Eduardo Asmar, 133 - Cohab, Sen. Guiomard - AC, 69925-000, Brasil",-10.1586628,-67.7327109,ChIJ807espTqf5ERas6TzpDeCmU,true,ROOFTOP,street_address|subpremise,google_maps_geocoding_v1,2026-04-19T14:44:45Z,,,,,,,,false,,,retry_queue,hide_muni_mismatch
AC_0016,AC.json,AC,ACRE,Tarauacá,Hospital Dr. Sansão Gomes,"Avenida Avelino Leal, 1221 - Copacabana",(68) 99954-9484,2000121,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Tarauacá,Hospital Dr. Sansão Gomes,"Avenida Avelino Leal, 1221 - Copacabana",(68) 99954-9484,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Dr. Sansão Gomes, Avenida Avelino Leal, 1221 - Copacabana, Tarauacá, ACRE, Brasil",,false,OK,"Av. Avelino Leal, 2231, Tarauacá - AC, 69970-000, Brasil",-8.1484735,-70.78311870000002,ChIJt5c_5fMim5ERRsjdgfES8r4,true,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:45Z,,,,,,,,false,,,publish_ready,publish
AC_0017,AC.json,AC,ACRE,Xapuri,Hospital Epaminondas Jácome,"Rua 6 de Agosto, 240 - Centro",(68) 3542-2316,2000393,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Xapuri,Hospital Epaminondas Jácome,"Rua 6 de Agosto, 240 - Centro",(68) 3542-2316,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Epaminondas Jácome, Rua 6 de Agosto, 240 - Centro, Xapuri, ACRE, Brasil",,false,OK,"R. Seis de Agosto, 238, Xapuri - AC, 69930-000, Brasil",-10.6502201,-68.5065532,ChIJKQ_tA8LgfpER04c98PinT8Q,true,ROOFTOP,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:45Z,,,,,,,,false,,,publish_ready,publish
AL_0001,AL.json,AL,ALAGOAS,Arapiraca,Unidade de Emergência Dr. Daniel Houly,"Rod. AL 220, km 05 s/n Arapiraca",(82) 359-2450 e 3529-2488,3015408,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Loxoscélico,,ALAGOAS,Arapiraca,Unidade de Emergência Dr. Daniel Houly,"Rod. AL 220, km 05 s/n Arapiraca",(82) 359-2450 e 3529-2488,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Loxoscélico","Unidade de Emergência Dr. Daniel Houly, Rod. AL 220, km 05 s/n Arapiraca, Arapiraca, ALAGOAS, Brasil",,false,OK,"AL-220,Km 5 - Sen. Arnon de Melo, Arapiraca - AL, 57315-745, Brasil",-9.7348704,-36.6498059,ChIJx017jYB_BgcR2JaVmvS1FNc,true,GEOMETRIC_CENTER,doctor|establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:46Z,,,,,,,,false,,,retry_queue,publish
AL_0002,AL.json,AL,ALAGOAS,Delmiro Gouveia,UPA Delmiro Gouveia,"R. Luiz Luna Torres, Delmiro Gouveia",(82) 98114-0105,7641117,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Delmiro Gouveia,UPA Delmiro Gouveia,"R. Luiz Luna Torres, Delmiro Gouveia",(82) 98114-0105,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","UPA Delmiro Gouveia, R. Luiz Luna Torres, Delmiro Gouveia, Delmiro Gouveia, ALAGOAS, Brasil",,false,OK,"R. Luiz Luna Torres, Delmiro Gouveia - AL, 57480-000, Brasil",-9.386990299999999,-38.0126625,ChIJvQdMIa8nCQcRc8siwmsapF0,true,GEOMETRIC_CENTER,establishment|health|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:46Z,,,,,,,,false,,,retry_queue,publish
AL_0003,AL.json,AL,ALAGOAS,Palmeira Dos Índios,UPA Palmeira dos Índios,"R. Bráulio Montenegro, 2311 - Vila Maria",(82) 3421-2309,7481624,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Palmeira Dos Índios,UPA Palmeira dos Índios,"R. Bráulio Montenegro, 2311 - Vila Maria",(82) 3421-2309,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","UPA Palmeira dos Índios, R. Bráulio Montenegro, 2311 - Vila Maria, Palmeira Dos Índios, ALAGOAS, Brasil",,false,OK,"R. Bráulio Montenegro, 2311 - Vila Maria, Palmeira dos Índios - AL, 57607-520, Brasil",-9.4235094,-36.6439294,ChIJq15m-MhfBgcRa0dTuTxOryc,true,ROOFTOP,premise|street_address,google_maps_geocoding_v1,2026-04-19T14:44:47Z,,,,,,,,false,,,publish_ready,publish
AL_0004,AL.json,AL,ALAGOAS,Pão de Açúcar,Unid. Mista Djalma G. dos Anjos,"Rua Padre José Soares Pinto, 850 - Centro",(82) 3624-1128,2719290,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Pão de Açúcar,Unid. Mista Djalma G. dos Anjos,"Rua Padre José Soares Pinto, 850 - Centro",(82) 3624-1128,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","Unid. Mista Djalma G. dos Anjos, Rua Padre José Soares Pinto, 850 - Centro, Pão de Açúcar, ALAGOAS, Brasil",,false,OK,"Avenida Maestro Manoelito - Av. Manoelito Bezerra Lima, 885 - Centro, Pão de Açúcar - AL, 57400-000, Brasil",-9.7499222,-37.4315452,ChIJ8RF5zRRRDwcRXAh768ywIcM,true,ROOFTOP,establishment|point_of_interest|primary_school|school,google_maps_geocoding_v1,2026-04-19T14:44:47Z,,,,,,,,false,,,publish_ready,publish
