row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes,state_clean,municipality_clean,health_unit_name_clean,address_clean,phones_clean,antivenoms_joined,geocode_query,normalization_notes,needs_review_pre_geocode
AC_0001,AC.json,AC,ACRE,Acrelândia,Unidade Mista de Saúde de Acrelândia,"Avenida Paraná, 346 – Centro",(68) 3235-1188,5701929,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Acrelândia,Unidade Mista de Saúde de Acrelândia,"Avenida Paraná, 346 – Centro",(68) 3235-1188,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Saúde de Acrelândia, Avenida Paraná, 346 – Centro, Acrelândia, ACRE, Brasil",,false
AC_0002,AC.json,AC,ACRE,Assis Brasil,Unidade Mista de Assis Brasil,"Rua D. Giocondo Maria Grotti, s/n - Centro",(68) 3548-1135,2001020,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Assis Brasil,Unidade Mista de Assis Brasil,"Rua D. Giocondo Maria Grotti, s/n - Centro",(68) 3548-1135,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Assis Brasil, Rua D. Giocondo Maria Grotti, s/n - Centro, Assis Brasil, ACRE, Brasil",,false
AC_0003,AC.json,AC,ACRE,Brasiléia,Hospital de Clínicas Raimundo Chaar,"BR 317, km 01, Bairro ALberto Castro s/n",(68) 3546-3804,2001500,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Brasiléia,Hospital de Clínicas Raimundo Chaar,"BR 317, km 01, Bairro ALberto Castro s/n",(68) 3546-3804,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Hospital de Clínicas Raimundo Chaar, BR 317, km 01, Bairro ALberto Castro s/n, Brasiléia, ACRE, Brasil",,false
AC_0004,AC.json,AC,ACRE,Cruzeiro do Sul,Hospital Regional do Juruá,"Avenida 25 de Agosto, 5121 - Aeroporto Velho",(68) 3322-5516,5336171,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Cruzeiro do Sul,Hospital Regional do Juruá,"Avenida 25 de Agosto, 5121 - Aeroporto Velho",(68) 3322-5516,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Regional do Juruá, Avenida 25 de Agosto, 5121 - Aeroporto Velho, Cruzeiro do Sul, ACRE, Brasil",,false
AC_0005,AC.json,AC,ACRE,Feijó,Hospital Geral de Feijó,"Avenida Mal. Deodoro, s/n - Centro",(68) 99222-5074,2000636,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Feijó,Hospital Geral de Feijó,"Avenida Mal. Deodoro, s/n - Centro",(68) 99222-5074,"Botrópico, Laquético, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Geral de Feijó, Avenida Mal. Deodoro, s/n - Centro, Feijó, ACRE, Brasil",,false
AC_0006,AC.json,AC,ACRE,Jordão,Hospital da Família de Jordão,"Rua Romildo Magalhães, s/n – Centro",(68) 3464-1037,5353947,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Jordão,Hospital da Família de Jordão,"Rua Romildo Magalhães, s/n – Centro",(68) 3464-1037,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital da Família de Jordão, Rua Romildo Magalhães, s/n – Centro, Jordão, ACRE, Brasil",,false
AC_0007,AC.json,AC,ACRE,Mâncio Lima,Hospital Dr. Abel Pinheiro Maciel Filho,"Avenida Japiim, s/n - Centro",(68) 99946-0048 / 99986 2932,2000083,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Mâncio Lima,Hospital Dr. Abel Pinheiro Maciel Filho,"Avenida Japiim, s/n - Centro",(68) 99946-0048 / 99986 2932,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Dr. Abel Pinheiro Maciel Filho, Avenida Japiim, s/n - Centro, Mâncio Lima, ACRE, Brasil",,false
AC_0008,AC.json,AC,ACRE,Manoel Urbano,Unidade Mista de Manuel Urbano,"Rua Francisco Freitas, s/n - São José",(68) 3611-1005,2000970,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Manoel Urbano,Unidade Mista de Manuel Urbano,"Rua Francisco Freitas, s/n - São José",(68) 3611-1005,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Manuel Urbano, Rua Francisco Freitas, s/n - São José, Manoel Urbano, ACRE, Brasil",,false
AC_0009,AC.json,AC,ACRE,Marechal Thaumaturgo,Unidade Mista de Marechal Thaumaturgo,"Rua 5 de novembro, s/n - Centro",(68) 3325-1048,2001594,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Marechal Thaumaturgo,Unidade Mista de Marechal Thaumaturgo,"Rua 5 de novembro, s/n - Centro",(68) 3325-1048,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Marechal Thaumaturgo, Rua 5 de novembro, s/n - Centro, Marechal Thaumaturgo, ACRE, Brasil",,false
AC_0010,AC.json,AC,ACRE,Plácido de Castro,Hospital Dr. Manoel Marinho Monte,"Rua Epitácio Pessoa, 550 - Centro",(68) 3237-1821,2000997,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Plácido de Castro,Hospital Dr. Manoel Marinho Monte,"Rua Epitácio Pessoa, 550 - Centro",(68) 3237-1821,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Dr. Manoel Marinho Monte, Rua Epitácio Pessoa, 550 - Centro, Plácido de Castro, ACRE, Brasil",,false
