row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes
AC_0001,AC.json,AC,ACRE,Acrelândia,Unidade Mista de Saúde de Acrelândia,"Avenida Paraná, 346 – Centro",(68) 3235-1188,5701929,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0002,AC.json,AC,ACRE,Assis Brasil,Unidade Mista de Assis Brasil,"Rua D. Giocondo Maria Grotti, s/n - Centro",(68) 3548-1135,2001020,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0003,AC.json,AC,ACRE,Brasiléia,Hospital de Clínicas Raimundo Chaar,"BR 317, km 01, Bairro ALberto Castro s/n",(68) 3546-3804,2001500,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0004,AC.json,AC,ACRE,Cruzeiro do Sul,Hospital Regional do Juruá,"Avenida 25 de Agosto, 5121 - Aeroporto Velho",(68) 3322-5516,5336171,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0005,AC.json,AC,ACRE,Feijó,Hospital Geral de Feijó,"Avenida Mal. Deodoro, s/n - Centro",(68) 99222-5074,2000636,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0006,AC.json,AC,ACRE,Jordão,Hospital da Família de Jordão,"Rua Romildo Magalhães, s/n – Centro",(68) 3464-1037,5353947,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0007,AC.json,AC,ACRE,Mâncio Lima,Hospital Dr. Abel Pinheiro Maciel Filho,"Avenida Japiim, s/n - Centro",(68) 99946-0048 / 99986 2932,2000083,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0008,AC.json,AC,ACRE,Manoel Urbano,Unidade Mista de Manuel Urbano,"Rua Francisco Freitas, s/n - São José",(68) 3611-1005,2000970,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0009,AC.json,AC,ACRE,Marechal Thaumaturgo,Unidade Mista de Marechal Thaumaturgo,"Rua 5 de novembro, s/n - Centro",(68) 3325-1048,2001594,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0010,AC.json,AC,ACRE,Plácido de Castro,Hospital Dr. Manoel Marinho Monte,"Rua Epitácio Pessoa, 550 - Centro",(68) 3237-1821,2000997,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0011,AC.json,AC,ACRE,Porto Walter,Unidade Mista de Porto Walter,"Rua Mamede Cameli, s/n - Centro",(68) 8422-2372,5661714,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0012,AC.json,AC,ACRE,Rio Branco,HUERB - Hosp. de Urgência e Emergência de Rio Branco,"Avenida Nações Unidas, 700 - Bosque",(68) 3223-3080,2001578,Botrópico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,
AC_0013,AC.json,AC,ACRE,Santa Rosa do Purus,Unidade Mista de Santa Rosa do Purus,"Rua Raimundo Fernandes de Moura, s/n - Cidade Nova",(68) 3615-1056,5858208,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0014,AC.json,AC,ACRE,Sena Madureira,Hospital João Câncio Fernandes,"Rua Quintino Bocaiúva, 1054 - Centro",(68) 3612-2271,2000865,Botrópico|Laquético|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0015,AC.json,AC,ACRE,Senador Guiomard,Hospital Dr. Ari Rodrigues,"Avenida Eduardo Assmar, 133 - COHAB",(68) 3232-2667,2000725,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0016,AC.json,AC,ACRE,Tarauacá,Hospital Dr. Sansão Gomes,"Avenida Avelino Leal, 1221 - Copacabana",(68) 99954-9484,2000121,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AC_0017,AC.json,AC,ACRE,Xapuri,Hospital Epaminondas Jácome,"Rua 6 de Agosto, 240 - Centro",(68) 3542-2316,2000393,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,
AL_0001,AL.json,AL,ALAGOAS,Arapiraca,Unidade de Emergência Dr. Daniel Houly,"Rod. AL 220, km 05 s/n Arapiraca",(82) 359-2450 e 3529-2488,3015408,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Loxoscélico,
AL_0002,AL.json,AL,ALAGOAS,Delmiro Gouveia,UPA Delmiro Gouveia,"R. Luiz Luna Torres, Delmiro Gouveia",(82) 98114-0105,7641117,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,
AL_0003,AL.json,AL,ALAGOAS,Palmeira Dos Índios,UPA Palmeira dos Índios,"R. Bráulio Montenegro, 2311 - Vila Maria",(82) 3421-2309,7481624,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,
AL_0004,AL.json,AL,ALAGOAS,Pão de Açúcar,Unid. Mista Djalma G. dos Anjos,"Rua Padre José Soares Pinto, 850 - Centro",(82) 3624-1128,2719290,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,
AL_0005,AL.json,AL,ALAGOAS,Penedo,Unid. de Emergência Enfermeiro Antônio de Jesus,"Rua Matheus Ferreira, s/n - Santa Luzia",(82) 3551-3355,7097794,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,
AL_0006,AL.json,AL,ALAGOAS,Piranhas,Unid. Senador Afonso Farias de Melo,"Avenida Maceió, s/n - Xingó",(82) 3686-1972/1195,2704544,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,
AL_0007,AL.json,AL,ALAGOAS,Santana do Ipanema,Hospital Regional Dr. Clodolfo Melo,Avenida João Agostinho - Santo Antônio,(82) 3621-3588,5616298,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,
AL_0008,AL.json,AL,ALAGOAS,Maceió,Hospital Escola Dr. Helvio Auto - HEHA,"Rua Cônego Fernando Lyra, no Trapiche da Barra",(82) 3315-6826 e (82) 3315-3244,2720035,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,
AL_0009,AL.json,AL,ALAGOAS,Maceió,UPA 24 horas Dr Ismar Gatto,"Av. Juca Sampaio, 600, Jacintinho",(82) 3023-5682,4156730,Escorpiônico,municipality inherited from previous row (blank in source)
AL_0010,AL.json,AL,ALAGOAS,Maceió,UPA Galba Novaes,"Av. Maceió, 341 - Tabuleiro do Martins, Maceió - AL, 57061-110",(82) 3315-3504,4156714,Escorpiônico,municipality inherited from previous row (blank in source)
AL_0011,AL.json,AL,ALAGOAS,Coruripe,UPA Coruripe,"Praça Dr. Castro Azevedo, 47 Centro",(82) 99127-1490,7471645,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Antiaracnídico,
AL_0012,AL.json,AL,ALAGOAS,Maragogi,UPA Maragogi,"AL-101, 200 - Maragogi, AL, 57955-000",(82) 99305-4192,7916043,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Antiaracnídico,
AL_0013,AL.json,AL,ALAGOAS,Porto Calvo,Hospital Regional do Norte,"Rua Alto da Forca s/n, Bairro Mangazala, Rodovia AL105 CEP 57900.000.",(82) 98889-9642,7042671,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Antiaracnídico,
AL_0014,AL.json,AL,ALAGOAS,União dos Palmares,Hospital Regional da Mata,"BR-104 - União dos Palmares, AL, 57800-000",(82) 3281-9300,7753470,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Antiaracnídico,
AL_0015,AL.json,AL,ALAGOAS,Viçosa,UPA Viçosa,"R. Juarez Távora, 57 - Viçosa, AL, 57700-000",(82) 9954-1345,7099185,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Antiaracnídico,
