duplicate_type,duplicate_key,group_size,row_id,source_state_abbr,source_state_file,state_clean,municipality_clean,health_unit_name_clean,address_clean,cnes,geocode_query,needs_review_pre_geocode
cnes,2078139,2,SP_0163,SP,SP.json,SÃO PAULO,Piedade,HOSPITAL Santa Casa - Piedade,"Rua Quintino Bocaiuva, nº 154, Centro",2078139,"HOSPITAL Santa Casa - Piedade, Rua Quintino Bocaiuva, nº 154, Centro, Piedade, SÃO PAULO, Brasil",false
cnes,2078139,2,SP_0176,SP,SP.json,SÃO PAULO,Presidente Venceslau,Santa Casa de Presidente Venceslau,"Rua Emiliano Vilanova, 66 - Centro",2078139,"Santa Casa de Presidente Venceslau, Rua Emiliano Vilanova, 66 - Centro, Presidente Venceslau, SÃO PAULO, Brasil",false
cnes,2115786,3,MG_0143,MG,MG.json,MINAS GERAIS,Juiz de Fora,Hospital de Pronto Socorro,"Av. Rio Branco, 3408 - Centro",2115786,"Hospital de Pronto Socorro, Av. Rio Branco, 3408 - Centro, Juiz de Fora, MINAS GERAIS, Brasil",false
cnes,2115786,3,MG_0151,MG,MG.json,MINAS GERAIS,Lavras,Unidade Regional de Pronto Atendimento,"Rua Ernesto Matioli, 885 - Santa Efigênia",2115786,"Unidade Regional de Pronto Atendimento, Rua Ernesto Matioli, 885 - Santa Efigênia, Lavras, MINAS GERAIS, Brasil",false
cnes,2115786,3,MG_0215,MG,MG.json,MINAS GERAIS,Poços de Caldas,Unidade de Pronto Atendimento,"Praça Bandeira do Sul, s/n – Bairro José Carlos",2115786,"Unidade de Pronto Atendimento, Praça Bandeira do Sul, s/n – Bairro José Carlos, Poços de Caldas, MINAS GERAIS, Brasil",false
cnes,2314819,2,PA_0108,PA,PA.json,PARÁ,Ourem,Hospital Municipal Luis Carlos de Souza,"Rua Luiz de Moua, 365 - Centro",2314819,"Hospital Municipal Luis Carlos de Souza, Rua Luiz de Moua, 365 - Centro, Ourem, PARÁ, Brasil",false
cnes,2314819,2,PA_0131,PA,PA.json,PARÁ,Salinópolis,Hosp. Reg. Dr. Olimpio Cardoso da Silveira,"Avenida Dr. Miguel de Santa Brígida, s/n - Ponta D'Agulha",2314819,"Hosp. Reg. Dr. Olimpio Cardoso da Silveira, Avenida Dr. Miguel de Santa Brígida, s/n - Ponta D'Agulha, Salinópolis, PARÁ, Brasil",false
cnes,2319705,2,RR_0001,RR,RR.json,RORAIMA,Amajari,Unidade Básica Jacir Vicente IOP,"Avenida Antonio José Altino, s/n - Tepequem",2319705,"Unidade Básica Jacir Vicente IOP, Avenida Antonio José Altino, s/n - Tepequem, Amajari, RORAIMA, Brasil",false
cnes,2319705,2,RR_0024,RR,RR.json,RORAIMA,Amajari,Unidade Básica Jacir Vicente IOP,"Avenida Antonio José Altino, s/n - Tepequem",2319705,"Unidade Básica Jacir Vicente IOP, Avenida Antonio José Altino, s/n - Tepequem, Amajari, RORAIMA, Brasil",false
cnes,2417456,2,BA_0120,BA,BA.json,BAHIA,Itarantim,Hospital Regional de Itarantim,"Rua Maria Quitéria, s/n – Centro",2417456,"Hospital Regional de Itarantim, Rua Maria Quitéria, s/n – Centro, Itarantim, BAHIA, Brasil",false
cnes,2417456,2,BA_0121,BA,BA.json,BAHIA,Itarantim,Hospital Regional de Itarantim,"Rua Maria Quitéria, s/n – Centro",2417456,"Hospital Regional de Itarantim, Rua Maria Quitéria, s/n – Centro, Itarantim, BAHIA, Brasil",false
cnes,2419653,2,MG_0230,MG,MG.json,MINAS GERAIS,Rio Casca,Hospital Nossa Senhora da Conceição,"R. Cel. José Viêira, 677",2419653,"Hospital Nossa Senhora da Conceição, R. Cel. José Viêira, 677, Rio Casca, MINAS GERAIS, Brasil",false
cnes,2419653,2,SC_0042,SC,SC.json,SANTA CATARINA,Urussanga,Hospital Nossa Senhora da Conceição,"Av. Presidente Vargas, 540",2419653,"Hospital Nossa Senhora da Conceição, Av. Presidente Vargas, 540, Urussanga, SANTA CATARINA, Brasil",false
cnes,2451573,2,MA_0004,MA,MA.json,MARANHÃO,ARARI,Hospital Jorge Oliveira,"Praça Major Pestana, S/N Centro",2451573,"Hospital Jorge Oliveira, Praça Major Pestana, S/N Centro, ARARI, MARANHÃO, Brasil",false
cnes,2451573,2,MA_0010,MA,MA.json,MARANHÃO,ARARI,Hospital Jorge Oliveira,Praça Major Pestana,2451573,"Hospital Jorge Oliveira, Praça Major Pestana, ARARI, MARANHÃO, Brasil",false
