row_id,source_state_file,source_state_abbr,state,municipality,health_unit_name,address,phones_raw,cnes,antivenoms_raw,source_notes,state_clean,municipality_clean,health_unit_name_clean,address_clean,phones_clean,antivenoms_joined,geocode_query,normalization_notes,needs_review_pre_geocode,geocode_status,formatted_address,lat,lng,place_id,partial_match,location_type,result_types,geocode_provider,geocode_attempted_at,original_formatted_address,original_lat,original_lng,original_place_id,original_partial_match,original_location_type,original_review_reasons,repair_applied,repair_source,repair_outcome,final_status,publish_policy
AC_0002,AC.json,AC,ACRE,Assis Brasil,Unidade Mista de Assis Brasil,"Rua D. Giocondo Maria Grotti, s/n - Centro",(68) 3548-1135,2001020,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Assis Brasil,Unidade Mista de Assis Brasil,"Rua D. Giocondo Maria Grotti, s/n - Centro",(68) 3548-1135,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Assis Brasil, Rua D. Giocondo Maria Grotti, s/n - Centro, Assis Brasil, ACRE, Brasil",,false,OK,"Seringal Paraguaçu, Assis Brasil - AC, 69935-000, Brasil",-10.9422053,-69.56220490000001,ChIJ1xMG0nwMeZERXSqVJl0L-VE,true,GEOMETRIC_CENTER,establishment|health|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:41Z,,,,,,,,false,,,retry_queue,publish
AC_0007,AC.json,AC,ACRE,Mâncio Lima,Hospital Dr. Abel Pinheiro Maciel Filho,"Avenida Japiim, s/n - Centro",(68) 99946-0048 / 99986 2932,2000083,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Mâncio Lima,Hospital Dr. Abel Pinheiro Maciel Filho,"Avenida Japiim, s/n - Centro",(68) 99946-0048 / 99986 2932,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Hospital Dr. Abel Pinheiro Maciel Filho, Avenida Japiim, s/n - Centro, Mâncio Lima, ACRE, Brasil",,false,OK,"Mancio Lima, Mâncio Lima - AC, 69990-000, Brasil",-7.607801599999999,-72.9085115,ChIJZVuSOVIlmJER61cHvkmSZJA,true,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:42Z,,,,,,,,false,,,retry_queue,publish
AC_0008,AC.json,AC,ACRE,Manoel Urbano,Unidade Mista de Manuel Urbano,"Rua Francisco Freitas, s/n - São José",(68) 3611-1005,2000970,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Manoel Urbano,Unidade Mista de Manuel Urbano,"Rua Francisco Freitas, s/n - São José",(68) 3611-1005,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Manuel Urbano, Rua Francisco Freitas, s/n - São José, Manoel Urbano, ACRE, Brasil",,false,OK,"R. Francisco Freitas, Manoel Urbano - AC, 69950-000, Brasil",-8.8416712,-69.2606042,ChIJ00jim5Xsg5ER5yje9_-CGrs,true,GEOMETRIC_CENTER,route,google_maps_geocoding_v1,2026-04-19T14:44:43Z,,,,,,,,false,,,retry_queue,publish
AC_0011,AC.json,AC,ACRE,Porto Walter,Unidade Mista de Porto Walter,"Rua Mamede Cameli, s/n - Centro",(68) 8422-2372,5661714,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Porto Walter,Unidade Mista de Porto Walter,"Rua Mamede Cameli, s/n - Centro",(68) 8422-2372,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Porto Walter, Rua Mamede Cameli, s/n - Centro, Porto Walter, ACRE, Brasil",,false,OK,"R. Mamede Cameli, Porto Walter - AC, 69982-000, Brasil",-8.2616019,-72.757742,ChIJA2EquDr9mJERTmb6nv1WklY,true,GEOMETRIC_CENTER,route,google_maps_geocoding_v1,2026-04-19T14:44:44Z,,,,,,,,false,,,retry_queue,publish
AC_0013,AC.json,AC,ACRE,Santa Rosa do Purus,Unidade Mista de Santa Rosa do Purus,"Rua Raimundo Fernandes de Moura, s/n - Cidade Nova",(68) 3615-1056,5858208,Botrópico|Fonêutrico|Loxoscélico|Escorpiônico,,ACRE,Santa Rosa do Purus,Unidade Mista de Santa Rosa do Purus,"Rua Raimundo Fernandes de Moura, s/n - Cidade Nova",(68) 3615-1056,"Botrópico, Fonêutrico, Loxoscélico, Escorpiônico","Unidade Mista de Santa Rosa do Purus, Rua Raimundo Fernandes de Moura, s/n - Cidade Nova, Santa Rosa do Purus, ACRE, Brasil",,false,OK,"R. 28 de - Rua do Marco, Santa Rosa do Purus - AC, 69955-000, Brasil",-9.442187299999999,-70.4878942,ChIJR-gS5p0tnZER1EbhY-1Zyjc,true,GEOMETRIC_CENTER,establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:44Z,,,,,,,,false,,,retry_queue,publish
AL_0001,AL.json,AL,ALAGOAS,Arapiraca,Unidade de Emergência Dr. Daniel Houly,"Rod. AL 220, km 05 s/n Arapiraca",(82) 359-2450 e 3529-2488,3015408,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Loxoscélico,,ALAGOAS,Arapiraca,Unidade de Emergência Dr. Daniel Houly,"Rod. AL 220, km 05 s/n Arapiraca",(82) 359-2450 e 3529-2488,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Loxoscélico","Unidade de Emergência Dr. Daniel Houly, Rod. AL 220, km 05 s/n Arapiraca, Arapiraca, ALAGOAS, Brasil",,false,OK,"AL-220,Km 5 - Sen. Arnon de Melo, Arapiraca - AL, 57315-745, Brasil",-9.7348704,-36.6498059,ChIJx017jYB_BgcR2JaVmvS1FNc,true,GEOMETRIC_CENTER,doctor|establishment|health|hospital|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:46Z,,,,,,,,false,,,retry_queue,publish
AL_0002,AL.json,AL,ALAGOAS,Delmiro Gouveia,UPA Delmiro Gouveia,"R. Luiz Luna Torres, Delmiro Gouveia",(82) 98114-0105,7641117,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Delmiro Gouveia,UPA Delmiro Gouveia,"R. Luiz Luna Torres, Delmiro Gouveia",(82) 98114-0105,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","UPA Delmiro Gouveia, R. Luiz Luna Torres, Delmiro Gouveia, Delmiro Gouveia, ALAGOAS, Brasil",,false,OK,"R. Luiz Luna Torres, Delmiro Gouveia - AL, 57480-000, Brasil",-9.386990299999999,-38.0126625,ChIJvQdMIa8nCQcRc8siwmsapF0,true,GEOMETRIC_CENTER,establishment|health|point_of_interest,google_maps_geocoding_v1,2026-04-19T14:44:46Z,,,,,,,,false,,,retry_queue,publish
AL_0005,AL.json,AL,ALAGOAS,Penedo,Unid. de Emergência Enfermeiro Antônio de Jesus,"Rua Matheus Ferreira, s/n - Santa Luzia",(82) 3551-3355,7097794,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Penedo,Unid. de Emergência Enfermeiro Antônio de Jesus,"Rua Matheus Ferreira, s/n - Santa Luzia",(82) 3551-3355,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","Unid. de Emergência Enfermeiro Antônio de Jesus, Rua Matheus Ferreira, s/n - Santa Luzia, Penedo, ALAGOAS, Brasil",,false,OK,"R. Mateus R Ferreira - Santa Luzia, Penedo - AL, 57200-000, Brasil",-10.2827075,-36.5622209,ChIJlfhgtmNUBAcRMbApUdKBX4o,true,GEOMETRIC_CENTER,route,google_maps_geocoding_v1,2026-04-19T14:44:47Z,,,,,,,,false,,,retry_queue,publish
AL_0006,AL.json,AL,ALAGOAS,Piranhas,Unid. Senador Afonso Farias de Melo,"Avenida Maceió, s/n - Xingó",(82) 3686-1972/1195,2704544,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Piranhas,Unid. Senador Afonso Farias de Melo,"Avenida Maceió, s/n - Xingó",(82) 3686-1972/1195,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","Unid. Senador Afonso Farias de Melo, Avenida Maceió, s/n - Xingó, Piranhas, ALAGOAS, Brasil",,false,OK,"Av. Maceió - Piranhas, AL, 57460-000, Brasil",-9.6035415,-37.7713749,Ei1Bdi4gTWFjZWnDsyAtIFBpcmFuaGFzLCBBTCwgNTc0NjAtMDAwLCBCcmF6aWwiLiosChQKEgnZ5ie50DIPBxGg7g9G9wVVXhIUChIJc6ScA9cyDwcRdEfZomR0IMc,true,GEOMETRIC_CENTER,route,google_maps_geocoding_v1,2026-04-19T14:44:48Z,,,,,,,,false,,,retry_queue,publish
AL_0007,AL.json,AL,ALAGOAS,Santana do Ipanema,Hospital Regional Dr. Clodolfo Melo,Avenida João Agostinho - Santo Antônio,(82) 3621-3588,5616298,Botrópico|Crotálico|Laquético|Elapídico|Escorpiônico|Fonêutrico|Lonômico|Loxoscélico,,ALAGOAS,Santana do Ipanema,Hospital Regional Dr. Clodolfo Melo,Avenida João Agostinho - Santo Antônio,(82) 3621-3588,"Botrópico, Crotálico, Laquético, Elapídico, Escorpiônico, Fonêutrico, Lonômico, Loxoscélico","Hospital Regional Dr. Clodolfo Melo, Avenida João Agostinho - Santo Antônio, Santana do Ipanema, ALAGOAS, Brasil",,false,OK,"Av. João Agostinho, Santana do Ipanema - AL, 57500-000, Brasil",-9.3741824,-37.2577749,ChIJKV2pXJsfBgcR4Wn4QBy9d4s,true,GEOMETRIC_CENTER,route,google_maps_geocoding_v1,2026-04-19T14:44:48Z,,,,,,,,false,,,retry_queue,publish
