row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
MG_0069,MG,P. A. Gentil Ferreira Oliveira,Coroaci,"places_rooftop:health type, muni match, UF in FA, 553km away (penalty)",accept_best,-18.6222901,-42.284076999999996,,"Centro, Coroaci - MG, 39710-000",ChIJY_KSc1DqsQARdn6H5qPMw_Q,ROOFTOP
MG_0071,MG,UPA,Coronel Fabriciano,"places_rooftop:hospital type, UF in FA, 2.7km from old",accept_best,-19.499990399999998,-42.615802099999996,,"Av. Maanaim, s/nº - Sílvio Pereira II, Cel. Fabriciano - MG, 35171",ChIJ00pQM7lVpQARgkunxdFAk2A,ROOFTOP
MG_0101,MG,Hospital Municipal Governador Valadares,Governador Valadares,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-18.853806,-41.939943,,"R. Teófilo Otoní, 361 - Esplanada, Gov. Valadares - MG, 35020-600",ChIJo1Ck1gynsQARUGdPiFWpjIg,ROOFTOP
MG_0126,MG,Hospital São Vicente de Paulo,Itanhomi,"places_rooftop:hospital type, muni match, UF in FA, 306km away (penalty)",accept_best,-19.1683932,-41.860193699999996,,"Av. Juscelino Kubitscheck, 574 - Itanhomi, MG, 35120-000",ChIJfa-W8z_5sAARMxME-nmd5Ww,ROOFTOP
MG_0218,MG,Hospital Arnaldo Gavazza,Ponte Nova,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-20.4056064,-42.8910878,,"Av. Dr. José Grossi - Guarapiranga, Pte. Nova - MG, 35430-213",ChIJ9xEwZEOWpAARvIrv5uqtea8,ROOFTOP
MG_0223,MG,Hospital Municipal Santo Antônio,Presidente Bernardes,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-20.7678285,-43.1810918,,"Av. Juca Quintão, 82, Pres. Bernardes - MG, 36475-000",ChIJw4TfXBieowAROhCLI2z-Qko,ROOFTOP
MG_0224,MG,Hospital Municipal Darci José Fernandes,Presidente Olegário,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-18.419320499999998,-46.420392799999995,,"Praça José Batista Marra, s/n - Centro, Pres. Olegário - MG, 38750-000",ChIJLTAqXJWRrpQRUOJN2lvlpSY,ROOFTOP
MG_0236,MG,Sta. Casa de Misericórdia,S. Sebastião do Paraíso,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-20.925957399999998,-46.9832543,,"Praça Comendador João Pio F. Westin 92 - Mocoquinha, São Sebastião do Paraíso - MG, 37950-000",ChIJcXpgJmMXt5QRgwrBScHwlTk,ROOFTOP
MG_0246,MG,UBS de Santo Antônio do Jacinto,Santo Antônio de Jacinto,"places_rooftop:hospital type, muni match, UF in FA",accept_best,-16.4742756,-40.343873599999995,,"R. Bom Jardim, 260 - Catajás, Santo Antônio do Jacinto - MG, 39935-000",ChIJbzUGcTwjSgcRpCe3S8Wlsbc,ROOFTOP
MG_0267,MG,Hospital São João de Deus,Senador Firmino,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-20.9160577,-43.0982615,,"R. Pio XII, 15, Sen. Firmino - MG, 36540-000",ChIJDWrkR_YLowARjrTN0rAfm1g,ROOFTOP
MG_0279,MG,Centro Municipal de Saude,Tumiritinga,"places_rooftop:hospital type, muni match, UF in FA, 262km away (penalty)",accept_best,-18.978765799999998,-41.6477867,,"Praça Tiradentes, 58 - Tumiritinga, MG, 35125-000",ChIJq5R513kXsQAR7apxa-6sAVs,ROOFTOP
MG_0295,MG,Hospital São João Batista,Visconde do Rio Branco,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-21.020778399999998,-42.8418157,,"Praça Jorge Carone Filho, 806 - Centro, Visc. do Rio Branco - MG, 36520-000",ChIJZUW5Dts9owARxjTyCkcekos,ROOFTOP
