row_id,uf,name,municipality,outcome,decision,best_lat,best_lng,note,best_formatted_address,best_place_id,best_location_type
PR_0003,PR,Unidade de Saúde 24 horas Almirante Tamandaré,Almirante Tamandaré,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-25.313495999999997,-49.2988109,,"R. Lourenço Ângelo Buzato, 580 - Centro, Alm. Tamandaré - PR, 83501-080",ChIJE3OE_8bf3JQRV3Bs6bX5HtY,ROOFTOP
PR_0031,PR,Hospital Nossa Senhora da Aparecida - APMI,Capitão Leônidas Marques,"places_rooftop:hospital type, UF in FA, 559km away (penalty)",accept_best,-25.4777919,-53.6198633,,"Rua Pedro Dalibra, s/n - Centro, Cap. Leônidas Marques - PR, 85790-000",ChIJ56bDetgT8ZQRI3uehJw15q0,ROOFTOP
PR_0048,PR,Instituto Médico Nossa Vida de Coronel Vivida,Coronel Vivida,"places_rooftop:hospital type, UF in FA, 0.2km from old",accept_best,-25.976900099999998,-52.5671709,,"R. Iguaçu, 189 - Cel. Vivida, PR, 85550-000",ChIJUzt_9yj675QRCmQkNvnmOpk,ROOFTOP
PR_0049,PR,UPA I Unidade de Pronto Atendimento de Coronel Vivida,Coronel Vivida,"places_rooftop:health type, UF in FA, 0.0km from old",accept_best,-25.9830325,-52.5650257,,"R. Romário Martins, 154 - Centro, Cel. Vivida - PR, 85550-000",ChIJtY1e_Y7575QRgxfj_CV9Muk,ROOFTOP
PR_0063,PR,Pronto Atendimento Deputado Aníbal Khury,Doutor Ulysses,"places_rooftop:health type, UF in FA, 0.4km from old",accept_best,-24.569821899999997,-49.423732,,"Dr. Ulysses - PR, 83590-000",ChIJH22deO38wpQRnbl8coDrv54,ROOFTOP
PR_0064,PR,Santa Casa de Misericordia de Engenheiro Beltrâo,Engenheiro Beltrão,"places_rooftop:hospital type, UF in FA",accept_best,-24.026971200000002,-52.400144499999996,,"PR-558 S/N Área Urbanizada - Rod. Bento Fernandes Dias, 3376-3494 - Centro, Campo Mourão - PR, 87302-215",ChIJ-Zjmsmx17ZQRV7_ljTx53lw,ROOFTOP
PR_0070,PR,Pronto Atendimento de General Carneiro,General Carneiro,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-26.4218653,-51.310299,,"Gen. Carneiro - PR, 84660-000",ChIJYyUMI2KD5pQRLEO3nHSChtU,ROOFTOP
PR_0107,PR,Unidade de Pronto Atendimento Marechal Cândido Rondon,Marechal Cândido Rondon,"places_rooftop:hospital type, UF in FA, 1.6km from old",accept_best,-24.557448599999997,-54.0657905,,"R. Cabral, 985 - Centro, Mal. Cândido Rondon - PR, 85960-000",ChIJqaITTRSA85QRk3FMiAZatGU,ROOFTOP
PR_0108,PR,Hospital Rondon,Marechal Cândido Rondon,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-24.557448599999997,-54.0657905,,"R. Cabral, 985 - Centro, Mal. Cândido Rondon - PR, 85960-000",ChIJqaITTRSA85QRk3FMiAZatGU,ROOFTOP
PR_0109,PR,Hospital Municipal Dr. Cruzatti,Marechal Cândido Rondon,"places_rooftop:hospital type, UF in FA, 0.0km from old",accept_best,-24.5543849,-54.0631506,,"R. Doze de Outubro, 1380 - Centro, Mal. Cândido Rondon - PR, 85960-000",ChIJd4BuHhaA85QRKT7eqacn4gE,ROOFTOP
