state,file,record_count,status
AC,AC.json,17,valid
AL,AL.json,15,valid
AM,AM.json,95,valid
AP,AP.json,26,valid
BA,BA.json,254,valid
CE,CE.json,49,valid
DF,DF.json,11,valid
ES,ES.json,61,valid
GO,GO.json,87,valid
MA,MA.json,156,valid
MG,MG.json,295,valid
MS,MS.json,67,valid
MT,MT.json,105,valid
PA,PA.json,172,valid
PB,PB.json,14,valid
PE,PE.json,15,valid
PI,PI.json,17,valid
PR,PR.json,204,valid
RJ,RJ.json,29,valid
RN,RN.json,5,valid
RO,RO.json,39,valid
RR,RR.json,34,valid
RS,RS.json,65,valid
SC,SC.json,143,valid
SE,SE.json,17,valid
SP,SP.json,242,valid
TO,TO.json,37,valid
